alim_code;alim_nom_fr;alim_carbo;alim_image_url;code
39520;Glace ou crème glacée, gourmande, en bac;29;;39520
53101;Banane plantain, cuite;28,9;;53101
25970;Bouillon de viande et légumes type pot-au-feu, non dégraissé, déshydraté;28,9;;25970
15039;Châtaigne ou Marron, appertisé;28,8;;15039
39532;Coupe glacée type café ou chocolat liégeois;28,6;;39532
4035;Pomme de terre noisette, surgelée, cuite;28,5;;4035
11048;Noix de muscade;28,5;;11048
25185;Riz blanc, avec légumes et viande, préemballé, cuit;28,3;;25185
25413;Hamburger, provenant de fast food;28,3;;25413
9120;Riz thaï ou basmati, cuit, non salé;28,3;;9120
20992;Haricot de mer (Himanthalia elongata), séchée ou déshydratée;28,3;;20992
25478;Pizza 4 fromages, préemballée;28,2;https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=714&q=80;25478
9110;Riz rouge, cuit, non salé;28,2;;9110
23531;Charlotte aux fruits;28,2;;23531
25401;Feuilleté ou Friand au fromage;28,1;;25401
9643;Son de riz;28,1;;9643
25234;Galette de céréales aux légumes (sans soja), préemballé;28;;25234
25435;Pizza jambon fromage, préemballée;28;https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=714&q=80;25435
25169;Spécialité chinoise type bouchée à la vapeur, préemballée, cuite;28;;25169
9341;Quinoa, bouilli/cuit à l'eau, non salé;27,9;;9341
1015;Marsala;27,9;;1015
25110;Ravioli chinois à la vapeur à la crevette, cuit;27,8;;25110
25155;Pâtes fraîches farcies (ex : raviolis, tortellinis), au fromage et aux légumes, préemballées, cuites;27,8;;25155
25233;Galette de céréales au fromage (sans soja), préemballé;27,8;;25233
25570;Pizza aux lardons, oignons et fromage, préemballée;27,7;https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=714&q=80;25570
20824;Igname jaune, pulpe, cuit à la vapeur, prélevé à la Martinique;27,6;;20824
26272;Pizza au poulet, préemballée;27,5;https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=714&q=80;26272
26273;Pizza type raclette ou tartiflette, préemballée;27,5;https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=714&q=80;26273
11025;Cannelle, poudre;27,5;;11025
9081;Blé dur précuit, grains entiers, cuit, non salé;27,4;;9081
23535;Gâteau de semoule, appertisé;27,4;;23535
25516;Pizza (aliment moyen);27,3;https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=714&q=80;25516
25457;Pizza à la viande, type bolognaise, préemballée;27,2;https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=714&q=80;25457
25434;Sandwich panini, jambon cru, mozzarella, tomates;27,2;;25434
25522;Sandwich (aliment moyen);27,2;https://images.unsplash.com/photo-1550507992-eb63ffee0847?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=1350&q=85;25522
39216;Clafoutis aux fruits, préemballé;27,2;;39216
15018;Mélange apéritif de graines salées et raisins secs;27,1;;15018
23589;Gâteau au fromage blanc;27;;23589
39525;Sorbet, pot individuel;27;;39525
25456;Sushi ou Maki aux produits de la mer;26,9;;25456
25468;Pizza au chèvre et lardons, préemballée;26,9;https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=714&q=80;25468
25485;Sandwich baguette, jambon emmental, préemballé;26,9;https://images.unsplash.com/photo-1550507992-eb63ffee0847?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=1350&q=82;25485
31074;Chocolat noir à 70% cacao minimum, extra, dégustation, tablette;26,9;;31074
11038;Thym, séché;26,9;;11038
25149;Pâtes fraîches farcies (ex : raviolis, tortellinis, ravioles du Dauphiné), au fromage, cuites;26,8;;25149
25547;Croque-monsieur, préemballé;26,8;;25547
25464;Pizza au saumon, préemballée;26,7;https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=714&q=80;25464
25416;Burger au poisson, provenant de fast food;26,7;;25416
15019;Noix de cajou, grillée, salée;26,7;;15019
23009;Fraisier ou framboisier;26,7;;23009
39523;Glace ou crème glacée, pot individuel;26,7;;39523
26271;Pizza kebab, préemballée;26,6;https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=714&q=80;26271
25462;Pizza au chorizo ou salami, préemballée;26,5;https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=714&q=80;25462
25151;Feuilleté au poisson et / ou fruits de mer;26,5;;25151
11035;Origan, séché;26,4;;11035
25403;Hot-dog, préemballé;26,3;;25403
39516;Dessert glacé feuilleté, à partager;26,2;;39516
11300;Sauce au chocolat, préemballée;26,2;;11300
25576;Sandwich pain de mie complet, jambon, fromage, préemballé;26,1;https://images.unsplash.com/photo-1567234669003-dce7a7a88821?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=1950&q=80;25576
25578;Feuilleté salé (aliment moyen);26,1;;25578
23005;Gâteau Paris-Brest (pâte à choux crème mousseline praliné);26,1;;23005
39515;Glace ou crème glacée, en bac;26,1;;39515
10023;Beignet de crevette;26;;10023
25402;Feuilleté ou Friand à la viande, préemballé;25,9;;25402
11091;Vinaigre balsamique;25,8;;11091
25216;Pâtes fraîches farcies (ex : raviolis, tortellinis), cuites (aliment moyen);25,7;;25216
25472;Pizza aux légumes ou Pizza 4 saisons, préemballée;25,7;https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=714&q=80;25472
25548;Pizza jambon fromage champignons ou pizza royale, reine ou regina, préemballée;25,7;https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=714&q=80;25548
26274;Pizza au speck ou jambon cru, préemballée;25,7;https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=714&q=80;26274
25508;Feuilleté ou Friand jambon fromage;25,7;;25508
31013;Sorbet, bâtonnet;25,7;;31013
7814;Cake salé (garniture : fromage, légumes, viande, poisson, volaille, etc.), préemballé;25,6;;7814
4020;Pomme de terre dauphine, surgelée, crue;25,6;;4020
20537;Haricot flageolet, surgelé;25,6;;20537
39210;Mousse au chocolat traditionnelle, préemballée;25,6;;39210
20991;Kombu breton (Laminaria digitata), séchée ou déshydratée;25,6;;20991
23536;Gâteau de riz au caramel, rayon frais;25,4;;23536
4025;Potatoes ou Wedges ou Quartiers de pommes de terre épicés, surgelées, cuites;25,3;;4025
39529;Nougat glacé;25,3;;39529
20832;Patate douce, pulpe, cuite à la vapeur, prélevée à la Martinique;25,2;;20832
23455;Chou à la crème (chantilly ou pâtissière);25,2;;23455
39531;Glace ou crème glacée, petit pot enfant;25,2;;39531
25158;Pâtes fraîches farcies (ex : raviolis, tortellinis), à la viande (ex : bolognaise), préemballées, cuites;25,1;;25158
25544;Sandwich pain de mie, garnitures diverses, préemballé;25,1;;25544
13998;Coulis de fruits rouges (framboises, fraises, groseilles, cassis);25,1;;13998
9876;Pâtes, sans gluten, à base de lentilles corail, cuites à l'eau, non salées;25,1;;9876
25490;Sandwich baguette, thon, maïs, crudités, préemballé;25;https://images.unsplash.com/photo-1550507992-eb63ffee0847?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=1350&q=84;25490
9811;Pâtes sèches standard, cuites, non salées;25;;9811
4013;Pomme de terre noisette, surgelée, crue;24,9;;4013
39527;Glace ou crème glacée, bac ou pot (aliment moyen);24,9;;39527
23534;Gâteau de semoule aux raisins et caramel, rayon frais;24,8;;23534
25463;Pizza aux fruits de mer, préemballée;24,6;https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=714&q=80;25463
13038;Compote de pomme;24,4;;13038
9125;Riz basmati, cuit, non salé;24,4;;9125
9322;Orge perlée, bouilli/cuite à l'eau, non salée;24,4;;9322
